Time,Frequency
0.288015873,176.2119934
0.303015873,180.5798815
0.318015873,186.6729253
0.333015873,192.3689859
0.348015873,198.8311435
0.363015873,203.7426503
0.378015873,206.6557271
0.393015873,209.8394844
0.408015873,212.5074554
0.423015873,212.6554682
0.438015873,213.5317097
0.453015873,214.9501105
0.468015873,215.5011256
0.483015873,214.4606765
0.498015873,211.776091
0.513015873,209.4948861
0.528015873,208.6748165
0.543015873,205.3342386
0.558015873,199.6012931
0.573015873,193.7675103
0.588015873,188.9704152
0.603015873,184.4887953
0.618015873,177.6964466
0.633015873,173.9691732
0.648015873,173.8499021
0.663015873,173.3895192
0.678015873,175.2295968
0.693015873,179.2751096
0.708015873,184.8503552
0.723015873,190.7683057
0.738015873,191.3714953
0.753015873,190.5753439
0.768015873,188.1910085
0.783015873,184.1268768
0.798015873,174.9198525
0.813015873,162.4378822
0.828015873,152.4409272
0.843015873,147.1596585
0.858015873,142.3736986
0.873015873,137.7935441
0.888015873,135.686008
0.903015873,130.7971018
0.918015873,127.5621548
0.933015873,121.4012086
1.218015873,148.1133328
1.233015873,149.7942508
1.248015873,149.6008103
1.263015873,146.1745379
1.278015873,137.992041
1.293015873,130.4957649
1.308015873,106.635185
1.473015873,158.2894802
1.488015873,160.2029105
1.503015873,158.7204921
1.518015873,158.8012913
1.533015873,158.9281363
1.548015873,158.9642898
1.563015873,156.7363083
1.578015873,151.8069416
1.593015873,146.8444093
1.608015873,143.6784013
1.623015873,140.8183676
1.638015873,139.4840579
1.653015873,137.7507837
1.668015873,135.5107281
1.683015873,132.3599687
1.698015873,127.0568403
1.713015873,123.6040127
1.728015873,119.5662972
1.743015873,114.2402351
1.758015873,109.2595609
1.773015873,103.4328438
1.788015873,101.4491988
1.803015873,101.5544946
1.818015873,119.7941949
1.833015873,116.8636783
1.848015873,111.0282099
1.863015873,107.6035673
1.878015873,102.2342593
1.893015873,99.70696312
2.088015873,55.64494986
2.103015873,53.43897199
2.148015873,104.8290841
2.163015873,107.8757852
2.178015873,110.7126228
2.193015873,108.1761444
2.208015873,109.9530239
2.223015873,116.8765895
2.238015873,120.2527417
2.253015873,121.3088057
2.268015873,123.2865884
2.283015873,123.3758372
2.298015873,122.3894868
2.313015873,120.8625441
2.328015873,118.4784708
2.343015873,117.4062734
2.358015873,116.808452
2.373015873,115.4596072
2.388015873,113.1422818
2.403015873,112.3257093
2.418015873,111.2498578
2.433015873,109.8117954
2.448015873,110.2009144
2.463015873,110.2565178
2.478015873,111.1686686
2.493015873,113.4937625
2.508015873,116.1991554
2.523015873,117.6925193
2.538015873,117.3467448
2.553015873,115.5042017
2.568015873,113.0520814
2.583015873,111.5867592
2.598015873,111.4277171
2.613015873,112.0732585
2.628015873,112.2252646
2.643015873,111.3036707
2.658015873,109.9933514
2.673015873,110.777851
2.688015873,116.585891
2.703015873,127.9160238
2.718015873,149.1492982
2.778015873,97.69039981
2.793015873,103.8080642
2.808015873,106.4181622
2.823015873,108.4091052
2.838015873,105.6514989
2.853015873,105.366029
2.868015873,108.0431751
2.883015873,110.2004156
2.898015873,112.7253403
2.913015873,115.6615461
2.928015873,115.5867792
2.943015873,115.5727212
2.958015873,117.7689157
2.973015873,122.1824927
2.988015873,129.0190111
3.003015873,131.2113473
3.018015873,133.4609337
3.033015873,133.6767516
3.048015873,132.8928078
3.063015873,131.1783136
3.078015873,130.8827426
3.093015873,131.6137548
3.108015873,131.8088188
3.123015873,125.9785565
3.138015873,127.544481
3.153015873,122.1704765
3.168015873,117.0963719
3.183015873,115.3112701
3.198015873,111.1535185
3.213015873,105.3674304
3.228015873,102.5355632
3.243015873,99.57332563
3.258015873,96.14275154
3.273015873,97.48520932
3.288015873,98.53719136
3.303015873,103.414731
3.318015873,116.3824896
3.333015873,119.54825
3.348015873,122.3284067
3.363015873,129.5491836
3.378015873,129.9432055
3.393015873,129.0879608
3.408015873,126.3086633
3.423015873,121.3575856
3.438015873,117.317055
3.453015873,112.4090311
3.468015873,110.9695074
3.483015873,111.3547334
3.498015873,113.7227288
3.513015873,114.9855437
3.528015873,114.3369439
3.543015873,111.4025647
3.558015873,105.791628
3.573015873,102.777577
3.588015873,99.78065425
3.603015873,92.56404406
3.618015873,90.77662671
3.633015873,84.88867884
3.648015873,90.54872474
3.693015873,93.76532887
3.708015873,93.93168045
3.723015873,94.67332969
3.738015873,94.17804884
3.753015873,93.81262909
3.768015873,93.06902245
3.783015873,93.79760291
3.798015873,93.26584715
3.813015873,92.82831429
3.828015873,91.87886949
3.843015873,90.46003766
3.858015873,89.78908833
3.873015873,90.60732253
3.888015873,90.88323092
3.903015873,88.87791443
3.918015873,88.09104247
3.933015873,86.71480858
3.948015873,85.80489025
3.963015873,85.08956858
3.978015873,84.61492594
3.993015873,85.75906417
4.008015873,87.20100011
4.023015873,88.29471481
4.038015873,89.20400836
4.053015873,91.35979161
4.068015873,95.41841451
4.083015873,94.81036808
4.623015873,133.0104483
4.638015873,127.6712556
4.668015873,126.1682527
4.683015873,120.7190282
4.698015873,124.3107886
4.713015873,131.9802666
4.728015873,138.7909329
4.743015873,150.0894995
4.758015873,152.0495348
4.773015873,153.544358
4.788015873,157.5687479
4.803015873,157.939713
4.818015873,158.363565
4.833015873,157.4508587
4.848015873,156.4645789
4.863015873,153.3190135
4.878015873,150.3958021
4.893015873,149.3842751
4.908015873,149.1208291
4.923015873,150.8535299
4.938015873,151.7205389
4.953015873,150.8171664
4.968015873,149.8068384
4.983015873,145.3828665
4.998015873,144.9541444
5.013015873,149.6623996
5.028015873,143.7946582
5.043015873,143.756641
5.058015873,140.6738774
5.073015873,141.2748781
5.088015873,142.0014403
5.103015873,140.3127133
5.118015873,137.0405417
5.133015873,131.1738891
5.148015873,122.0822063
5.163015873,118.1915383
5.178015873,125.7521111
5.193015873,126.025824
5.208015873,123.301284
5.223015873,121.5341811
5.238015873,113.5937728
5.253015873,110.6515344
5.268015873,111.9464275
5.283015873,117.042964
5.298015873,124.3247817
5.313015873,130.1740113
5.328015873,138.509772
5.343015873,144.5610487
5.358015873,149.016563
5.373015873,149.4017123
5.388015873,147.9737261
5.403015873,146.3300256
5.418015873,142.1021244
5.433015873,140.5580259
5.448015873,137.4252156
5.463015873,136.6963932
5.478015873,135.9832964
5.493015873,134.9263017
5.508015873,133.8036986
5.523015873,132.366275
5.538015873,130.6689469
5.553015873,127.5784651
5.568015873,124.20821
5.583015873,121.3378856
5.598015873,117.5595999
5.613015873,113.7103206
5.628015873,110.5858568
5.643015873,105.5205793
5.658015873,101.0643511
5.673015873,98.81280991
5.688015873,94.8684313
5.703015873,93.97240175
5.718015873,92.8919084
5.733015873,100.9039682
5.763015873,97.31104412
5.778015873,98.86646597
5.793015873,97.99188097
5.808015873,97.95194979
5.823015873,97.99035543
5.838015873,97.00162264
5.853015873,96.67309931
5.868015873,97.25709463
5.883015873,88.98916216
5.898015873,88.39122392
5.943015873,99.37098045
5.958015873,102.8367452
5.973015873,95.36960219
5.988015873,93.30311607
6.003015873,87.78790679
6.018015873,88.8407336
6.033015873,90.49292833
6.048015873,91.73708108
6.063015873,95.75512301
6.078015873,89.45868435
6.093015873,88.93038675
6.108015873,86.59214201
6.123015873,88.83875601
6.138015873,90.03254322
6.228015873,100.7851694
6.243015873,103.5937026
6.258015873,100.3949748
6.273015873,97.52841926
6.468015873,139.9341252
6.483015873,123.2592618
6.498015873,119.8268102
6.513015873,116.8488353
6.528015873,116.494123
6.543015873,118.221616
6.558015873,118.8715324
6.573015873,119.81558
6.588015873,122.7344947
6.603015873,124.5646862
6.618015873,129.8869873
6.633015873,131.1846595
6.648015873,131.3967245
6.663015873,130.7678058
6.678015873,129.6415806
6.693015873,122.8549964
6.708015873,120.4267477
6.723015873,117.0606617
6.738015873,113.3979162
6.753015873,110.8866892
6.768015873,107.7378444
6.783015873,104.4408807
6.798015873,103.6845063
6.813015873,104.6823885
6.828015873,104.5254217
6.843015873,141.2117354
6.858015873,139.0739004
6.873015873,136.0594557
6.888015873,131.3309875
6.903015873,124.208717
6.918015873,118.928251
6.933015873,115.7818298
6.948015873,111.4649423
6.963015873,104.5655368
6.978015873,101.2728409
7.038015873,112.7195465
7.053015873,115.8868629
7.068015873,117.803135
7.083015873,124.0739808
7.098015873,124.0769946
7.113015873,123.0492693
7.128015873,123.1550233
7.143015873,122.8972899
7.158015873,122.5492618
7.173015873,122.6000395
7.188015873,122.9590695
7.203015873,119.9696527
7.518015873,115.6176078
7.533015873,108.9572652
7.548015873,102.3999407
7.563015873,94.98388044
7.578015873,94.92007628
7.743015873,76.07899199
7.758015873,70.98232807
7.773015873,68.92591572
7.788015873,72.86463945
7.803015873,81.71997566
7.818015873,85.87117582
7.833015873,89.45277272
7.848015873,94.74918302
